bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,color,alive.24JAN,shoot.no.24JAN,total.length.24JAN,infected.shoot.length.24JAN,lesion.present.09MAR,alive.26MAR,shoot.no.26MAR,total.length.26MAR,infected.shoot.length.26MAR,lesion.present.26MAR,lesion.spread.T.26MAR,lesion.spread.B.26MAR,lesion.spread.26MAR,mono.viable?
12,V1,S1,116,3,mono,disease,shallow,S1,blue,1,1,24,24,1,1,1,4,4,0,NA,NA,NA,NA
1,V97,DP5,8,4,poly,disease,deep,D11,purple,1,1,9.5,9.5,0,1,1,2,2,NA,NA,NA,NA,1
6,V77,D3,56,4,mono,control,deep,D3,purple,1,1,9,9,0,1,1,2,2,NA,NA,NA,NA,NA
4,V113,MIX2,37,2,poly,disease,mix,M12,yellow,1,2,88,69.5,1,1,1,16,16,1,8,8,16,1
11,V81,D6,102,3,mono,disease,deep,D6,blue,1,1,22,22,1,1,1,6,6,1,1,1,2,NA
6,V33,SP4,52,1,poly,control,shallow,S12,pink,1,1,6.5,6.5,0,1,1,2,2,0,NA,NA,NA,1
4,V37,M3,33,3,mono,disease,mid,M3,blue,1,1,12,12,1,1,1,4,4,1,3,7,10,NA
4,V11,S6,31,1,mono,control,shallow,S6,pink,1,1,116,116,0,1,1,45,45,NA,NA,NA,NA,NA
2,V17,S12,19,2,mono,disease,shallow,S12,yellow,1,4,199.5,86.5,1,1,4,148,34,1,3,1.5,4.5,NA
1,V25,SP1,9,1,poly,disease,shallow,S12,pink,1,2,94.5,68.5,1,1,2,52,27,1,11,2,13,1
10,V107,DP3,100,1,poly,disease,deep,D4,pink,1,1,45.5,45.5,1,1,1,18,18,1,1,1,2,1
10,V79,D4,93,3,mono,disease,deep,D4,blue,1,1,17.5,17.5,1,1,1,7,7,1,3,2,5,NA
3,V101,DP5,21,1,poly,control,deep,D11,pink,1,1,23,23,0,1,1,10,10,NA,NA,NA,NA,1
1,V25,SP1,6,2,poly,control,shallow,S3,yellow,1,1,42.5,42.5,0,1,1,19,19,0,NA,NA,NA,1
4,V59,MP3,35,1,poly,control,mid,M6,pink,1,1,21,21,0,1,1,10,10,NA,NA,NA,NA,1
9,V39,M4,89,2,mono,control,mid,M4,yellow,1,1,6.5,6.5,0,1,1,4,4,0,NA,NA,NA,NA
4,V37,M3,38,3,mono,control,mid,M3,blue,1,2,38.5,27.5,0,1,4,34,17,0,NA,NA,NA,NA
9,V5,S3,90,1,mono,control,shallow,S3,pink,1,1,22,22,0,1,1,14,14,0,NA,NA,NA,NA
1,V61,MP5,2,4,poly,control,mid,M3,purple,1,1,36,36,0,1,1,23,23,0,NA,NA,NA,1
4,V59,MP3,35,3,poly,control,mid,M4,blue,1,1,12.5,12.5,0,1,1,8,8,NA,NA,NA,NA,1
3,V49,M10,24,2,mono,control,mid,M10,yellow,1,2,92.5,59,0,1,2,59,38,0,NA,NA,NA,NA
